Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR5413805	(2.0, 380.0)	(3.0, 619.0)	(4.0, 434.0)	(5.0, 394.0)	(6.0, 378.0)	(7.0, 406.0)	(8.0, 441.0)	(9.0, 556.0)	(10.0, 632.0)	(11.0, 899.0)	(12.0, 1263.0)	(13.0, 1743.0)	(14.0, 2356.0)	(15.0, 2975.0)	(16.0, 3926.0)	(17.0, 5335.0)	(18.0, 7157.0)	(19.0, 7473.0)	(20.0, 7594.0)	(21.0, 9915.0)	(22.0, 14082.0)	(23.0, 15919.0)	(24.0, 15097.0)	(25.0, 15722.0)	(26.0, 17150.0)	(27.0, 19161.0)	(28.0, 21144.0)	(29.0, 23006.0)	(30.0, 24836.0)	(31.0, 27876.0)	(32.0, 31419.0)	(33.0, 36534.0)	(34.0, 43282.0)	(35.0, 52544.0)	(36.0, 69581.0)	(37.0, 99483.0)	(38.0, 177389.0)	(39.0, 961876.0)
SRR5413805_cleaned	(12.0, 2.0)	(13.0, 18.0)	(14.0, 133.0)	(15.0, 337.0)	(16.0, 702.0)	(17.0, 1112.0)	(18.0, 1480.0)	(19.0, 2193.0)	(20.0, 3678.0)	(21.0, 6392.0)	(22.0, 11686.0)	(23.0, 15349.0)	(24.0, 14960.0)	(25.0, 15682.0)	(26.0, 17114.0)	(27.0, 19129.0)	(28.0, 21089.0)	(29.0, 22960.0)	(30.0, 24776.0)	(31.0, 27792.0)	(32.0, 31329.0)	(33.0, 36440.0)	(34.0, 43139.0)	(35.0, 52200.0)	(36.0, 69289.0)	(37.0, 99481.0)	(38.0, 177389.0)	(39.0, 961876.0)										
SRR5413806	(2.0, 348.0)	(3.0, 584.0)	(4.0, 360.0)	(5.0, 337.0)	(6.0, 383.0)	(7.0, 373.0)	(8.0, 465.0)	(9.0, 534.0)	(10.0, 659.0)	(11.0, 933.0)	(12.0, 1255.0)	(13.0, 1830.0)	(14.0, 2405.0)	(15.0, 2880.0)	(16.0, 3809.0)	(17.0, 5312.0)	(18.0, 6833.0)	(19.0, 7051.0)	(20.0, 7230.0)	(21.0, 9430.0)	(22.0, 13499.0)	(23.0, 15634.0)	(24.0, 14947.0)	(25.0, 15940.0)	(26.0, 18152.0)	(27.0, 19924.0)	(28.0, 21916.0)	(29.0, 24300.0)	(30.0, 26177.0)	(31.0, 29026.0)	(32.0, 32797.0)	(33.0, 37814.0)	(34.0, 44704.0)	(35.0, 55273.0)	(36.0, 71618.0)	(37.0, 103307.0)	(38.0, 183536.0)	(39.0, 983288.0)
SRR5413806_cleaned	(13.0, 20.0)	(14.0, 113.0)	(15.0, 376.0)	(16.0, 686.0)	(17.0, 1075.0)	(18.0, 1450.0)	(19.0, 2123.0)	(20.0, 3483.0)	(21.0, 6201.0)	(22.0, 11177.0)	(23.0, 15046.0)	(24.0, 14803.0)	(25.0, 15906.0)	(26.0, 18115.0)	(27.0, 19887.0)	(28.0, 21860.0)	(29.0, 24253.0)	(30.0, 26115.0)	(31.0, 28959.0)	(32.0, 32718.0)	(33.0, 37713.0)	(34.0, 44542.0)	(35.0, 54924.0)	(36.0, 71315.0)	(37.0, 103305.0)	(38.0, 183536.0)	(39.0, 983288.0)											
SRR5413807	(2.0, 322.0)	(3.0, 584.0)	(4.0, 374.0)	(5.0, 356.0)	(6.0, 360.0)	(7.0, 355.0)	(8.0, 397.0)	(9.0, 457.0)	(10.0, 615.0)	(11.0, 813.0)	(12.0, 1155.0)	(13.0, 1683.0)	(14.0, 2150.0)	(15.0, 2647.0)	(16.0, 3397.0)	(17.0, 4707.0)	(18.0, 6181.0)	(19.0, 6289.0)	(20.0, 6671.0)	(21.0, 9064.0)	(22.0, 12965.0)	(23.0, 14859.0)	(24.0, 14880.0)	(25.0, 15965.0)	(26.0, 18088.0)	(27.0, 20096.0)	(28.0, 22087.0)	(29.0, 24552.0)	(30.0, 26642.0)	(31.0, 29441.0)	(32.0, 33301.0)	(33.0, 38823.0)	(34.0, 45872.0)	(35.0, 56385.0)	(36.0, 73058.0)	(37.0, 104304.0)	(38.0, 185107.0)	(39.0, 959748.0)
SRR5413807_cleaned	(12.0, 1.0)	(13.0, 24.0)	(14.0, 122.0)	(15.0, 338.0)	(16.0, 731.0)	(17.0, 1065.0)	(18.0, 1497.0)	(19.0, 2200.0)	(20.0, 3708.0)	(21.0, 6358.0)	(22.0, 10994.0)	(23.0, 14370.0)	(24.0, 14746.0)	(25.0, 15932.0)	(26.0, 18047.0)	(27.0, 20056.0)	(28.0, 22036.0)	(29.0, 24488.0)	(30.0, 26571.0)	(31.0, 29360.0)	(32.0, 33220.0)	(33.0, 38746.0)	(34.0, 45717.0)	(35.0, 56028.0)	(36.0, 72780.0)	(37.0, 104302.0)	(38.0, 185107.0)	(39.0, 959748.0)										
SRR5413808	(2.0, 231.0)	(3.0, 396.0)	(4.0, 296.0)	(5.0, 287.0)	(6.0, 273.0)	(7.0, 328.0)	(8.0, 400.0)	(9.0, 425.0)	(10.0, 538.0)	(11.0, 738.0)	(12.0, 1012.0)	(13.0, 1521.0)	(14.0, 2073.0)	(15.0, 2520.0)	(16.0, 3324.0)	(17.0, 4544.0)	(18.0, 5969.0)	(19.0, 6307.0)	(20.0, 6471.0)	(21.0, 8042.0)	(22.0, 11461.0)	(23.0, 13336.0)	(24.0, 13476.0)	(25.0, 14396.0)	(26.0, 16305.0)	(27.0, 18119.0)	(28.0, 20182.0)	(29.0, 21917.0)	(30.0, 23763.0)	(31.0, 26381.0)	(32.0, 29667.0)	(33.0, 34210.0)	(34.0, 40637.0)	(35.0, 50161.0)	(36.0, 65644.0)	(37.0, 95532.0)	(38.0, 170282.0)	(39.0, 928061.0)
SRR5413808_cleaned	(13.0, 21.0)	(14.0, 86.0)	(15.0, 255.0)	(16.0, 510.0)	(17.0, 795.0)	(18.0, 1104.0)	(19.0, 1654.0)	(20.0, 2891.0)	(21.0, 5106.0)	(22.0, 9307.0)	(23.0, 12650.0)	(24.0, 13309.0)	(25.0, 14302.0)	(26.0, 16166.0)	(27.0, 17962.0)	(28.0, 19998.0)	(29.0, 21650.0)	(30.0, 23652.0)	(31.0, 26266.0)	(32.0, 29511.0)	(33.0, 34053.0)	(34.0, 40367.0)	(35.0, 49760.0)	(36.0, 65145.0)	(37.0, 95619.0)	(38.0, 170968.0)	(39.0, 926695.0)											
SRR5413809	(2.0, 232.0)	(3.0, 434.0)	(4.0, 279.0)	(5.0, 266.0)	(6.0, 278.0)	(7.0, 320.0)	(8.0, 353.0)	(9.0, 411.0)	(10.0, 584.0)	(11.0, 774.0)	(12.0, 1114.0)	(13.0, 1584.0)	(14.0, 2151.0)	(15.0, 2612.0)	(16.0, 3454.0)	(17.0, 4921.0)	(18.0, 6311.0)	(19.0, 6539.0)	(20.0, 6222.0)	(21.0, 8165.0)	(22.0, 11782.0)	(23.0, 13389.0)	(24.0, 12929.0)	(25.0, 13542.0)	(26.0, 15384.0)	(27.0, 16968.0)	(28.0, 18984.0)	(29.0, 20870.0)	(30.0, 22821.0)	(31.0, 25226.0)	(32.0, 28489.0)	(33.0, 33146.0)	(34.0, 38666.0)	(35.0, 48685.0)	(36.0, 63220.0)	(37.0, 90827.0)	(38.0, 161524.0)	(39.0, 862567.0)
SRR5413809_cleaned	(12.0, 1.0)	(13.0, 21.0)	(14.0, 97.0)	(15.0, 259.0)	(16.0, 542.0)	(17.0, 902.0)	(18.0, 1256.0)	(19.0, 1817.0)	(20.0, 2880.0)	(21.0, 5153.0)	(22.0, 9576.0)	(23.0, 12838.0)	(24.0, 12786.0)	(25.0, 13510.0)	(26.0, 15353.0)	(27.0, 16931.0)	(28.0, 18946.0)	(29.0, 20815.0)	(30.0, 22762.0)	(31.0, 25173.0)	(32.0, 28411.0)	(33.0, 33059.0)	(34.0, 38542.0)	(35.0, 48396.0)	(36.0, 62987.0)	(37.0, 90825.0)	(38.0, 161524.0)	(39.0, 862567.0)										
