Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5413805	(1, 0.10360394124965062)	(2, 0.004009350502650529)	(3, 0.0)	(4, 0.0)	(5, 0.10662548075889451)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0007553848773109693)	(14, 0.00046485223219136566)	(16, 0.006420771457143239)	(18, 0.002295207896444868)	(20, 0.0262350978543002)	(22, 0.026467523970395885)	(24, 0.030186341827926812)	(26, 0.018942728461798154)	(28, 0.01775154461680778)	(30, 0.007844381418229296)	(32, 0.018361663171558944)	(34, 0.0010168642579186124)	(36, 0.007495742244085772)	(38, 0.006536984515191081)	(40, 0.005520120257272468)	(42, 0.010342962166257887)	(44, 0.012696276591726676)	(46, 0.01696710647498485)	(48, 0.0029053264511960356)	(50, 0.03187143116962051)	(52, 0.01147603948222434)	(54, 0.0013655034320621368)	(56, 0.0)	(58, 0.0009297044643827313)	(60, 0.08907730899367046)	(62, 0.16272733453148996)	(64, 0.16476106304732718)	(66, 0.08265653753652721)	(68, 0.007379529186037931)	(70, 0.004503255999353855)	(72, 0.0012783436385262557)	(74, 0.002760060128636234)	(76, 0.0028762731866840757)	(78, 0.0014526632255980178)	(80, 0.0)	(82, 0.003079646038267798)	(84, 0.0013655034320621368)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0011911838449903747)	(94, 0.0016560360771817402)	(96, 0.0011911838449903747)	(98, 0.0002905326451196036)	(100, 5.810652902392071e-05)
SRR5413805_cleaned	(1, 0.06049851972341149)	(2, 0.003993498346274453)	(3, 0.0)	(4, 0.0)	(5, 0.1065131573849619)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.007152534351536335)	(22, 0.0045001361961749435)	(24, 0.005632620801834864)	(26, 0.0011026823791951848)	(28, 0.0010430779262657155)	(30, 0.0)	(32, 0.0016391224555604102)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.00011920890585893891)	(48, 0.0)	(50, 0.00047683562343575565)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.05716067035936121)	(62, 0.10305609911505269)	(64, 0.11125171139285472)	(66, 0.05617719688602496)	(68, 0.0016391224555604102)	(70, 0.0)	(72, 0.0)	(74, 0.0016689246820251447)	(76, 0.0012218912850541239)	(78, 5.960445292946946e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 8.940667939420419e-05)	(98, 0.0)	(100, 2.980222646473473e-05)
SRR5413806	(1, 0.09768463614456192)	(2, 0.003796328666871026)	(3, 0.0)	(4, 0.0)	(5, 0.10346412157770887)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.83308109467987e-05)	(12, 0.0009065859502975584)	(14, 0.0005382854079891753)	(16, 0.006629409761550896)	(18, 0.002578103796158682)	(20, 0.027650871484075534)	(22, 0.027452555807447945)	(24, 0.031758839071361344)	(26, 0.019746575229918698)	(28, 0.01903830495624873)	(30, 0.008187604363624824)	(32, 0.01793340332932358)	(34, 0.001331548114499539)	(36, 0.007819303821316442)	(38, 0.00677106381628489)	(40, 0.005609500567466143)	(42, 0.010454069239368721)	(44, 0.012975511413633806)	(46, 0.0174801103541748)	(48, 0.003144720015094656)	(50, 0.031078899608638178)	(52, 0.012097256274283047)	(54, 0.00152986379112713)	(56, 0.0)	(58, 0.0009349167612443573)	(60, 0.08425583175577935)	(62, 0.15604610669496727)	(64, 0.15797260183934958)	(66, 0.07884464686494079)	(68, 0.007139364358593273)	(70, 0.0046462529952749874)	(72, 0.0015581946020739286)	(74, 0.0021531416319567013)	(76, 0.0027197578508926755)	(78, 0.0012465556816591429)	(80, 0.0)	(82, 0.003343035691722247)	(84, 0.0013882097363931364)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.001331548114499539)	(94, 0.0015865254130207273)	(96, 0.0011049016269251495)	(98, 0.00033996973136158444)	(100, 0.00014165405473399352)
SRR5413806_cleaned	(1, 0.057516327730473035)	(2, 0.0038305526036440164)	(3, 0.0)	(4, 0.0)	(5, 0.10278649486444777)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.007516008517756062)	(22, 0.004091726644801563)	(24, 0.006297196325687512)	(26, 0.0006964641097534575)	(28, 0.0011897928541621566)	(30, 0.0)	(32, 0.0015380249090388854)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 2.9019337906394063e-05)	(48, 0.0)	(50, 0.000464309406502305)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.05493360665680396)	(62, 0.09947829034311884)	(64, 0.10789389833597313)	(66, 0.05388891049217377)	(68, 0.0015960635848516736)	(70, 0.0)	(72, 0.0)	(74, 0.001392928219506915)	(76, 0.0010737155025365803)	(78, 2.9019337906394063e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.00017411602743836436)	(98, 0.0)	(100, 2.9019337906394063e-05)
SRR5413807	(1, 0.10190571715145436)	(2, 0.0033815732913024784)	(3, 0.0)	(4, 0.0)	(5, 0.10047284711276687)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.7314801547499646e-05)	(12, 0.0010316664278549937)	(14, 0.00042986101160624735)	(16, 0.006132683765582462)	(18, 0.002292592061899986)	(20, 0.02559105889095859)	(22, 0.02564837369250609)	(24, 0.029201891388451067)	(26, 0.01776758847972489)	(28, 0.01748101447198739)	(30, 0.007995414815876201)	(32, 0.01776758847972489)	(34, 0.0008597220232124947)	(36, 0.007622868605817452)	(38, 0.0065338873764149595)	(40, 0.005444906147012466)	(42, 0.009772173663848688)	(44, 0.01283851554663992)	(46, 0.016793236853417395)	(48, 0.0025505086688637343)	(50, 0.0323255480727898)	(52, 0.012294024931938673)	(54, 0.0014328700386874909)	(56, 0.0)	(58, 0.0010030090270812437)	(60, 0.08600085972202322)	(62, 0.15730047284711277)	(64, 0.15924917609972775)	(66, 0.0797822037541195)	(68, 0.006734489181831208)	(70, 0.004212637913741223)	(72, 0.001289583034818742)	(74, 0.0021493050580312363)	(76, 0.002407221664994985)	(78, 0.001117638630176243)	(80, 0.0)	(82, 0.0024931938673162343)	(84, 0.0010316664278549937)	(86, 0.0)	(88, 0.0)	(90, 5.7314801547499646e-05)	(92, 0.000974351626307494)	(94, 0.0012036108324974925)	(96, 0.0007164350193437454)	(98, 0.00028657400773749825)	(100, 0.00011462960309499929)
SRR5413807_cleaned	(1, 0.05865507770334346)	(2, 0.0034537421002966704)	(3, 0.0)	(4, 0.0)	(5, 0.09963167889330395)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.006907484200593341)	(22, 0.004653771135145514)	(24, 0.005883069170844329)	(26, 0.00081953202379921)	(28, 0.0011707600339988715)	(30, 0.0)	(32, 0.001492719043348561)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 2.9269000849971786e-05)	(44, 0.0)	(46, 8.780700254991535e-05)	(48, 0.0)	(50, 0.0004390350127495768)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.05405984456989789)	(62, 0.09638281979895708)	(64, 0.10495863704799882)	(66, 0.05324031254609867)	(68, 0.0012585670365487867)	(70, 0.0)	(72, 0.0)	(74, 0.001492719043348561)	(76, 0.0009366080271990972)	(78, 0.00014634500424985894)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 5.853800169994357e-05)	(98, 0.0)	(100, 2.9269000849971786e-05)
SRR5413808	(1, 0.09815614085924751)	(2, 0.00305022190364349)	(3, 0.0)	(4, 0.0)	(5, 0.10248745596242127)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.05022190364349e-05)	(12, 0.0007320532568744376)	(14, 0.000579542161692263)	(16, 0.005886928274031936)	(18, 0.002318168646769052)	(20, 0.027726517104119327)	(22, 0.02818405038966585)	(24, 0.03227134774054813)	(26, 0.019643429059464076)	(28, 0.01799630923149659)	(30, 0.008388110235019598)	(32, 0.02028397565922921)	(34, 0.0008845643520566121)	(36, 0.007137519254525767)	(38, 0.0064054659976513295)	(40, 0.005429394988485413)	(42, 0.01082828775793439)	(44, 0.012963443090484831)	(46, 0.018148820326678763)	(48, 0.002440177522914792)	(50, 0.033094907654531866)	(52, 0.012658420900120483)	(54, 0.001159084323384526)	(56, 0.0)	(58, 0.0007930576949473074)	(60, 0.08815141301529686)	(62, 0.1616007564550321)	(64, 0.16385792066372828)	(66, 0.0822339825222285)	(68, 0.007625554759108725)	(70, 0.003934786255700103)	(72, 0.0012810931995302659)	(74, 0.0026536930561698365)	(76, 0.00305022190364349)	(78, 0.001220088761457396)	(80, 0.0)	(82, 0.00311122634171636)	(84, 0.0014336042947124402)	(86, 0.0)	(88, 0.0)	(90, 6.10044380728698e-05)	(92, 0.0012810931995302659)	(94, 0.0017081242660403546)	(96, 0.000945568790129482)	(98, 0.0004575332855465235)	(100, 9.15066571093047e-05)
SRR5413808_cleaned	(1, 0.0545067452097197)	(2, 0.0030003712959478734)	(3, 0.0)	(4, 0.0)	(5, 0.10201262406222769)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00771970531353255)	(22, 0.005438172973905521)	(24, 0.006907104754213333)	(26, 0.0008751082946514632)	(28, 0.001468931780307813)	(30, 0.0)	(32, 0.0026253248839543893)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 9.413309226894326e-05)	(44, 0.0)	(46, 0.00015737399457689216)	(48, 0.0)	(50, 0.00041062002360117553)	(52, 3.165008676871288e-05)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.05551250692309314)	(62, 0.10019417425970661)	(64, 0.10904190503528931)	(66, 0.05480547758530028)	(68, 0.0018414915176700804)	(70, 0.0)	(72, 0.0)	(74, 0.0016332247565515178)	(76, 0.0013769841686163014)	(78, 3.29152222369975e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0001032496093723112)	(98, 0.0)	(100, 0.0)
SRR5413809	(1, 0.09618226895718886)	(2, 0.0028460119933532684)	(3, 0.0)	(4, 0.0)	(5, 0.0966997256832531)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.234104537901441e-05)	(12, 0.000937890315991418)	(14, 0.000549797771443245)	(16, 0.006791619529593027)	(18, 0.00249026049418411)	(20, 0.025614107940179414)	(22, 0.026357951983896746)	(24, 0.029268646068008046)	(26, 0.0190812167736185)	(28, 0.018434395866038216)	(30, 0.008473353889301776)	(32, 0.017819916003836943)	(34, 0.0009055492706124035)	(36, 0.006920983711109085)	(38, 0.006694596393455984)	(40, 0.0055950008505694935)	(42, 0.009928700931357424)	(44, 0.012580666652436606)	(46, 0.01694670777860355)	(48, 0.002813670947974254)	(50, 0.030529946837789607)	(52, 0.011513412154929131)	(54, 0.001261300769781562)	(56, 0.0)	(58, 0.0011642776336445188)	(60, 0.08476587993839678)	(62, 0.15704811636049398)	(64, 0.15759791413193724)	(66, 0.0796559947685125)	(68, 0.00776185089096346)	(70, 0.0039779485816187725)	(72, 0.0012289597244025477)	(74, 0.002425578403426081)	(76, 0.0030077172202483404)	(78, 0.0011966186790235334)	(80, 0.0)	(82, 0.003072399311006369)	(84, 0.0011642776336445188)	(86, 0.0)	(88, 3.234104537901441e-05)	(90, 3.234104537901441e-05)	(92, 0.00109959554288649)	(94, 0.00139066495129762)	(96, 0.0008732082252333891)	(98, 0.00035575149916915855)	(100, 9.702313613704324e-05)
SRR5413809_cleaned	(1, 0.05709817902567031)	(2, 0.0029179092649587613)	(3, 0.0)	(4, 0.0)	(5, 0.09562784454705758)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.006233715247866444)	(22, 0.004045283299147374)	(24, 0.0049073928547033715)	(26, 0.0008289514957269209)	(28, 0.0009284256752141513)	(30, 0.0)	(32, 0.0014921126923084574)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 3.315805982907683e-05)	(48, 0.0)	(50, 0.00043105477777799885)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.05507553737609662)	(62, 0.10099945023936804)	(64, 0.1080621169829614)	(66, 0.054644482598318625)	(68, 0.0019563255299155334)	(70, 0.0)	(72, 0.0)	(74, 0.0014921126923084574)	(76, 0.00135948045299215)	(78, 6.631611965815366e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.00013263223931630732)	(98, 0.0)	(100, 6.631611965815366e-05)
