Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5413805	(1, 33.72672964252282)	(2, 33.725853977130434)	(3, 33.728426934235614)	(4, 33.82457696994207)	(5, 33.77973499936373)	(6, 37.932389567088926)	(7, 37.811189225654964)	(8, 37.77241706309846)	(9, 37.79019359352275)	(10, 37.71449967082651)	(12, 37.64936341392128)	(14, 37.62877452749223)	(16, 37.621555662858945)	(18, 37.645723330410576)	(20, 37.6403964143623)	(22, 37.628216414280956)	(24, 37.59998593821997)	(26, 37.5756512143974)	(28, 37.61317757297164)	(30, 37.59806028784813)	(32, 37.57620467908636)	(34, 37.54639312437064)	(36, 37.526061359332516)	(38, 37.50377982971301)	(40, 37.441043081923816)	(42, 37.34741341691377)	(44, 37.236556909243994)	(46, 37.08231835753761)	(48, 36.951134152286755)	(50, 36.870432027853944)	(52, 36.80604592623841)	(54, 36.76924357501582)	(56, 36.76436436977368)	(58, 36.7301750691613)	(60, 36.62923269747358)	(62, 36.59153347197551)	(64, 36.51257715820723)	(66, 36.46165114350744)	(68, 36.41163798237861)	(70, 36.36945641923164)	(72, 36.31519973828819)	(74, 36.28195002025012)	(76, 36.25303824513634)	(78, 36.1952515925547)	(80, 36.15244799901451)	(82, 36.133887030448406)	(84, 36.11450908408422)	(86, 36.072801960746716)	(88, 36.02903990001029)	(90, 35.97483580547561)	(92, 35.90260241711539)	(94, 35.835098609685076)	(96, 35.777741945418214)	(98, 35.70845107168777)	(100, 34.72253086473556)
SRR5413805_cleaned	(1, 33.76885333549499)	(2, 33.761075550432224)	(3, 33.762545396241464)	(4, 33.858563401554605)	(5, 33.81505215091609)	(6, 37.99191882827182)	(7, 37.87757602995005)	(8, 37.83872703961968)	(9, 37.86018881498599)	(10, 37.79233093345938)	(12, 37.72851244570779)	(14, 37.710871911818785)	(16, 37.701549477358355)	(18, 37.719742246503756)	(20, 37.718011631212946)	(22, 37.70930371866221)	(24, 37.6865285591756)	(26, 37.66379214258339)	(28, 37.70804427657181)	(30, 37.702581528460826)	(32, 37.69941981025518)	(34, 37.689591333989384)	(36, 37.695599164822404)	(38, 37.704717156009295)	(40, 37.68601894110305)	(42, 37.65471825869167)	(44, 37.627126165341565)	(46, 37.58440556777116)	(48, 37.5420175630481)	(50, 37.51459832261149)	(52, 37.476536409082044)	(54, 37.45885385405373)	(56, 37.472753910499144)	(58, 37.46706496348929)	(60, 37.40705788248029)	(62, 37.4091669860472)	(64, 37.36191645005415)	(66, 37.323787183492904)	(68, 37.27119579049511)	(70, 37.22665159468734)	(72, 37.16956781407225)	(74, 37.13558820952396)	(76, 37.10608102510122)	(78, 37.04714950644532)	(80, 37.002854755273056)	(82, 36.98477016820972)	(84, 36.96432703294398)	(86, 36.921354606559945)	(88, 36.87624416844933)	(90, 36.82064573080126)	(92, 36.74701307185257)	(94, 36.67811092031064)	(96, 36.6194359988246)	(98, 36.54808142206688)	(100, 35.53747331955676)
SRR5413806	(1, 33.72386298539887)	(2, 33.73295094293438)	(3, 33.72220506634226)	(4, 33.824372770011045)	(5, 33.78178872807691)	(6, 37.93336706588557)	(7, 37.81798870507229)	(8, 37.78503883870873)	(9, 37.794761973025665)	(10, 37.71232157963536)	(12, 37.65831115503016)	(14, 37.62996589536978)	(16, 37.60967423533725)	(18, 37.64365562652739)	(20, 37.642490096965034)	(22, 37.63148187706355)	(24, 37.61174408438502)	(26, 37.592404906216515)	(28, 37.618056472372075)	(30, 37.60622637564502)	(32, 37.57612828871136)	(34, 37.548430388081115)	(36, 37.52399478033139)	(38, 37.48611336970632)	(40, 37.438677109781324)	(42, 37.352635303703465)	(44, 37.243756030921375)	(46, 37.1007168828402)	(48, 36.98475830701874)	(50, 36.908763173118814)	(52, 36.8431388158741)	(54, 36.81606617624144)	(56, 36.80699606711683)	(58, 36.78250181458844)	(60, 36.68121633237254)	(62, 36.64206003525486)	(64, 36.56780327991464)	(66, 36.516629052793334)	(68, 36.46443859948336)	(70, 36.42775558216134)	(72, 36.38203701930405)	(74, 36.36049738704931)	(76, 36.33473901373648)	(78, 36.28436343217575)	(80, 36.26075848380299)	(82, 36.23298125690209)	(84, 36.18847298628846)	(86, 36.148236152041264)	(88, 36.103514267113084)	(90, 36.05998454270954)	(92, 35.99923195171523)	(94, 35.92265461965036)	(96, 35.84230589003226)	(98, 35.75538667873937)	(100, 34.777350706542094)
SRR5413806_cleaned	(1, 33.76143608577884)	(2, 33.765328159378846)	(3, 33.754209109866636)	(4, 33.85534846711151)	(5, 33.81340739842216)	(6, 37.98793898277935)	(7, 37.8794403214414)	(8, 37.84602107152164)	(9, 37.857998513049125)	(10, 37.783622820575175)	(12, 37.73105719189154)	(14, 37.70283588577756)	(16, 37.6823876995152)	(18, 37.71057476281044)	(20, 37.71404228349688)	(22, 37.70720503729275)	(24, 37.691237436803135)	(26, 37.6742527085199)	(28, 37.70639365660489)	(30, 37.70564553807366)	(32, 37.69463995417266)	(34, 37.68849220743719)	(36, 37.690986709723624)	(38, 37.6847939830144)	(40, 37.67980788037532)	(42, 37.65433992904191)	(44, 37.625157792649865)	(46, 37.5826319843017)	(48, 37.54250259287784)	(50, 37.514677690919676)	(52, 37.47265565827756)	(54, 37.46355925661742)	(56, 37.473992288981535)	(58, 37.47665423284768)	(60, 37.41399596863358)	(62, 37.41459753950838)	(64, 37.37016516065976)	(66, 37.33033989189716)	(68, 37.27565236922581)	(70, 37.23638601291128)	(72, 37.188203465025026)	(74, 37.166135999707485)	(76, 37.1401480218388)	(78, 37.08840538157817)	(80, 37.06388868414133)	(82, 37.036539699324834)	(84, 36.99048368852036)	(86, 36.948766358926264)	(88, 36.90279624536198)	(90, 36.858378085988946)	(92, 36.79665163271501)	(94, 36.718309286942635)	(96, 36.63609953400747)	(98, 36.54689786179715)	(100, 35.54599507019488)
SRR5413807	(1, 33.685644934804415)	(2, 33.68941739504227)	(3, 33.68468777761857)	(4, 33.79121593351483)	(5, 33.75029488465396)	(6, 37.86956641352629)	(7, 37.75172488895257)	(8, 37.71589339446912)	(9, 37.72574752829918)	(10, 37.64764292878636)	(12, 37.586345321679325)	(14, 37.56502278263361)	(16, 37.54651669293595)	(18, 37.57727897979653)	(20, 37.56541882791231)	(22, 37.55363433156613)	(24, 37.542371113340025)	(26, 37.5118443903138)	(28, 37.541246310359654)	(30, 37.5338111477289)	(32, 37.50403954721307)	(34, 37.48210975784497)	(36, 37.453709413956155)	(38, 37.421454649663275)	(40, 37.38157243158045)	(42, 37.311559535750106)	(44, 37.22296116922195)	(46, 37.10203926063906)	(48, 37.01201891388451)	(50, 36.938499785069496)	(52, 36.88123570712136)	(54, 36.856716435019344)	(56, 36.84395099584468)	(58, 36.814640492907294)	(60, 36.72275282991833)	(62, 36.68810288006878)	(64, 36.61381172087692)	(66, 36.57662788365096)	(68, 36.53958303481874)	(70, 36.50694855996561)	(72, 36.462590915603954)	(74, 36.44442670869752)	(76, 36.414541338300616)	(78, 36.38068204613842)	(80, 36.355635764436165)	(82, 36.32556641352629)	(84, 36.28442728184554)	(86, 36.24311677890815)	(88, 36.19784037827769)	(90, 36.153029087261785)	(92, 36.09567961025935)	(94, 36.011990829631756)	(96, 35.92802607823471)	(98, 35.84611921478722)	(100, 34.83693165209915)
SRR5413807_cleaned	(1, 33.7235297010113)	(2, 33.72048865182299)	(3, 33.716503384667256)	(4, 33.820486778606934)	(5, 33.78122651162682)	(6, 37.92393103755096)	(7, 37.81120089539727)	(8, 37.77543476173862)	(9, 37.78830492679238)	(10, 37.718558068526924)	(12, 37.657764012241465)	(14, 37.63698653391809)	(16, 37.61869135955679)	(18, 37.644117047905155)	(20, 37.63578445605318)	(22, 37.627506304542784)	(24, 37.62088887614061)	(26, 37.59127625722066)	(28, 37.626969218377184)	(30, 37.6278891430739)	(32, 37.61642828041108)	(34, 37.61274477665411)	(36, 37.608091298208976)	(38, 37.60195710101083)	(40, 37.599662118654194)	(42, 37.57956426653055)	(44, 37.56011208856566)	(46, 37.5272072924301)	(48, 37.50525700524266)	(50, 37.473369014196635)	(52, 37.436206163817424)	(54, 37.42603606409209)	(56, 37.43085696122209)	(58, 37.42567283579154)	(60, 37.36814871228104)	(62, 37.367215323843936)	(64, 37.31898147389322)	(66, 37.29066020329077)	(68, 37.2508368007343)	(70, 37.21540755327544)	(72, 37.168532955724196)	(74, 37.14988508990267)	(76, 37.119659285414905)	(78, 37.08502498401913)	(80, 37.05894747502184)	(82, 37.02931729470137)	(84, 36.9870385156636)	(86, 36.94444831445678)	(88, 36.898033240218886)	(90, 36.85234286644204)	(92, 36.79405921235948)	(94, 36.70897656840868)	(96, 36.62317537048702)	(98, 36.539448466655585)	(100, 35.509645891920115)
SRR5413808	(1, 33.785361985084414)	(2, 33.79194619408562)	(3, 33.78768442404185)	(4, 33.8835773002486)	(5, 33.841985084414894)	(6, 38.03589379127332)	(7, 37.922003995790696)	(8, 37.892982964510665)	(9, 37.89636993091247)	(10, 37.81789717701963)	(12, 37.775810520215344)	(14, 37.753432872241454)	(16, 37.736221385105765)	(18, 37.77232747182357)	(20, 37.76900486510394)	(22, 37.75271515502753)	(24, 37.73750064817216)	(26, 37.71270386920648)	(28, 37.74254022480136)	(30, 37.726670225258886)	(32, 37.70710000152511)	(34, 37.67695618356235)	(36, 37.65211243117937)	(38, 37.61567143009654)	(40, 37.55934420229072)	(42, 37.47429150970733)	(44, 37.37436715521054)	(46, 37.22416538303162)	(48, 37.09815949610334)	(50, 37.01568668120606)	(52, 36.95478686574448)	(54, 36.928492427824125)	(56, 36.917282252283854)	(58, 36.887351644832165)	(60, 36.79418017660785)	(62, 36.74695359087373)	(64, 36.68015769647242)	(66, 36.63874544373103)	(68, 36.58896826244109)	(70, 36.550397901447326)	(72, 36.50304991688145)	(74, 36.47609876618524)	(76, 36.44816117372539)	(78, 36.41177111134835)	(80, 36.38295108969177)	(82, 36.342672604431975)	(84, 36.301322881239614)	(86, 36.25224847107627)	(88, 36.206811450533024)	(90, 36.16288306974332)	(92, 36.107156430630326)	(94, 36.02661318610929)	(96, 35.950984459119404)	(98, 35.872986624776956)	(100, 34.89492412573015)
SRR5413808_cleaned	(1, 33.82239364621372)	(2, 33.821963592994635)	(3, 33.816383527461525)	(4, 33.91162218824579)	(5, 33.87038958571123)	(6, 38.084489205539185)	(7, 37.975215682940764)	(8, 37.94573015910719)	(9, 37.95189529704301)	(10, 37.881510649442866)	(12, 37.8399861357843)	(14, 37.8179493462316)	(16, 37.800268408215516)	(18, 37.830869382586094)	(20, 37.831799185149166)	(22, 37.81922044102958)	(24, 37.807944670652994)	(26, 37.785069027292124)	(28, 37.821292572455846)	(30, 37.81451798410053)	(32, 37.81198392051016)	(34, 37.801869231317376)	(36, 37.80243732991383)	(38, 37.794653579774575)	(40, 37.77945265942829)	(42, 37.750133084175864)	(44, 37.725386015176525)	(46, 37.67414868867007)	(48, 37.626783511211755)	(50, 37.59510333709184)	(52, 37.55910607977358)	(54, 37.550054448568055)	(56, 37.55925041309878)	(58, 37.55638912807785)	(60, 37.50339361820231)	(62, 37.495668560753295)	(64, 37.457189029457886)	(66, 37.426639744903824)	(68, 37.37316066747299)	(70, 37.33204424545779)	(72, 37.28128081454479)	(74, 37.2534175458118)	(76, 37.22550707863921)	(78, 37.18643442614511)	(80, 37.15684799139298)	(82, 37.11867605558305)	(84, 37.07547793067363)	(86, 37.022887898963646)	(88, 36.97546089477193)	(90, 36.93216116858127)	(92, 36.87825990581214)	(94, 36.8004558418039)	(96, 36.72308340949611)	(98, 36.64835732526441)	(100, 35.701193106038936)
SRR5413809	(1, 33.755004291656725)	(2, 33.75855986618569)	(3, 33.75312786420383)	(4, 33.84924221696573)	(5, 33.80678618623397)	(6, 37.980535865249095)	(7, 37.86745281279774)	(8, 37.84019772021503)	(9, 37.83960717272641)	(10, 37.76747079441897)	(12, 37.703535781809194)	(14, 37.686173815007926)	(16, 37.67810343054405)	(18, 37.71041698603449)	(20, 37.70082172128099)	(22, 37.68598300284019)	(24, 37.66768670323792)	(26, 37.64043161065521)	(28, 37.67252848114161)	(30, 37.65617232085163)	(32, 37.63397569117665)	(34, 37.605616798715154)	(36, 37.574086219933335)	(38, 37.53534843918881)	(40, 37.48107369683375)	(42, 37.39376678095992)	(44, 37.29118421912223)	(46, 37.139432272353)	(48, 37.00750409275929)	(50, 36.91773634674258)	(52, 36.85726020893609)	(54, 36.82530596245981)	(56, 36.816017290816504)	(58, 36.78881168003322)	(60, 36.682496314737875)	(62, 36.63653483809749)	(64, 36.5622523080187)	(66, 36.51212886224849)	(68, 36.45407312827817)	(70, 36.41097480438519)	(72, 36.37002521954719)	(74, 36.33370428512383)	(76, 36.313452969328395)	(78, 36.27045522608654)	(80, 36.24657524499959)	(82, 36.21426492361368)	(84, 36.17188424751767)	(86, 36.12364208035714)	(88, 36.08572414511298)	(90, 36.03328766777726)	(92, 35.979300437315615)	(94, 35.896629933707324)	(96, 35.817712285004816)	(98, 35.73957373208549)	(100, 34.73633768708486)
SRR5413809_cleaned	(1, 33.790051123096646)	(2, 33.78841974655305)	(3, 33.78354882756416)	(4, 33.87680056554387)	(5, 33.835338401211196)	(6, 38.029627389618476)	(7, 37.92261770945449)	(8, 37.894977150780974)	(9, 37.89721266717465)	(10, 37.833470939281625)	(12, 37.77097960182475)	(14, 37.75241672519064)	(16, 37.74406122569431)	(18, 37.76963736356288)	(20, 37.764252494646634)	(22, 37.752642531578076)	(24, 37.739191633027815)	(26, 37.714619189630284)	(28, 37.753399198503374)	(30, 37.748683790815086)	(32, 37.74619196261893)	(34, 37.73984318890346)	(36, 37.73757119864396)	(38, 37.730473384356955)	(40, 37.71954050887011)	(42, 37.69479663830326)	(44, 37.67652953156282)	(46, 37.63044546527058)	(48, 37.58524904023996)	(50, 37.54683343844438)	(52, 37.510474962680604)	(54, 37.49979010948128)	(56, 37.5122217292724)	(58, 37.5143355555865)	(60, 37.4475250492563)	(62, 37.43974749474279)	(64, 37.3969122551526)	(66, 37.358735059807195)	(68, 37.298384738273484)	(70, 37.25289652231637)	(72, 37.20988554500908)	(74, 37.17240798472607)	(76, 37.15214509436452)	(78, 37.10793578477501)	(80, 37.08311134012278)	(82, 37.051220249759766)	(84, 37.00720093585308)	(86, 36.957175039408355)	(88, 36.91833700393056)	(90, 36.86451882018318)	(92, 36.809612388912214)	(94, 36.72512233666174)	(96, 36.644173565201015)	(98, 36.56385645478004)	(100, 35.536223190879674)
